transaction_id,date,time,branch,customer_name,product,category,quantity,unit_price,total_amount,payment_method,staff_name,loyalty_member
TXN-00001,2024-11-23,08:00,BGC,Carla Aquino,Cheese Danish,Pastry,1,90.0,90.0,Debit Card,Mark Tan,False
TXN-00002,2024-01-17,07:00,Mandaluyong,Maria Lopez,Caramel Latte,Hot Drinks,2,155.0,310.0,Debit Card,Mira Flores,True
TXN-00003,2024-08-17,16:30,Quezon City,Andrea Torres,Caramel Latte,Hot Drinks,2,155.0,310.0,GCash,Alvin Santos,True
TXN-00004,2024-02-17,13:00,Ortigas,Jose Aquino,Matcha Latte,Cold Drinks,2,160.0,320.0,Debit Card,Mark Tan,False
TXN-00005,2024-02-10,15:30,Mandaluyong,Marco Villanueva,Banana Bread,Pastry,3,80.0,240.0,Cash,Jessa Lim,True
TXN-00006,2024-05-28,08:15,Alabang,Marco Cruz,Americano,Hot Drinks,1,120.0,120.0,Maya,Paolo Cruz,False
TXN-00007,2024-12-25,17:00,Ortigas,Luis Cruz,Blueberry Muffin,Pastry,2,85.0,170.0,Credit Card,Diana Reyes,True
TXN-00008,2024-12-16,12:00,BGC,Lea Torres,Brewed Coffee,Hot Drinks,3,95.0,285.0,GCash,Alvin Santos,True
TXN-00009,2024-12-01,14:45,Pasig,Carla Garcia,Cinnamon Roll,Pastry,1,100.0,100.0,Debit Card,Mira Flores,False
TXN-00010,2024-07-04,10:15,BGC,Jose De Leon,Cinnamon Roll,Pastry,1,100.0,100.0,GCash,Rina Ocampo,False
TXN-00011,2024-11-01,08:45,Makati,Tanya Torres,Cold Brew,Cold Drinks,5,150.0,750.0,Cash,Diana Reyes,False
TXN-00012,2024-02-27,11:45,Quezon City,Isabella Lopez,Americano,Hot Drinks,1,120.0,120.0,Debit Card,Mark Tan,False
TXN-00013,2024-11-23,15:15,Makati,Felix Castillo,Cappuccino,Hot Drinks,3,145.0,435.0,Debit Card,Alvin Santos,False
TXN-00014,2024-01-10,08:30,BGC,Clara Reyes,Iced Caramel Latte,Cold Drinks,1,165.0,165.0,Credit Card,Mark Tan,True
TXN-00015,2024-03-06,17:45,Mandaluyong,Renz Ramos,Blueberry Muffin,Pastry,1,85.0,85.0,Debit Card,Paolo Cruz,False
TXN-00016,2024-07-23,17:30,BGC,Luis Garcia,Cold Brew,Cold Drinks,2,150.0,300.0,Maya,Jessa Lim,True
TXN-00017,2024-10-28,10:00,Alabang,Jose De Leon,Brewed Coffee,Hot Drinks,1,95.0,95.0,Cash,Paolo Cruz,False
TXN-00018,2024-12-08,14:15,Ortigas,Clara Villanueva,Blueberry Muffin,Pastry,2,85.0,170.0,GCash,Ryan Go,False
TXN-00019,2024-04-07,08:00,Makati,Nico Mendoza,Cinnamon Roll,Pastry,1,100.0,100.0,Cash,Jessa Lim,False
TXN-00020,2024-06-22,19:00,Cubao,Patricia Cruz,Caramel Latte,Hot Drinks,1,155.0,155.0,GCash,Diana Reyes,False
TXN-00021,2024-05-07,20:00,Makati,Felix De Leon,Cold Brew,Cold Drinks,1,150.0,150.0,Cash,Paolo Cruz,True
TXN-00022,2024-07-27,14:45,Makati,Miguel Ramos,Americano,Hot Drinks,4,120.0,480.0,Credit Card,Diana Reyes,False
TXN-00023,2024-05-26,13:45,Makati,Jose Villanueva,Caramel Latte,Hot Drinks,1,155.0,155.0,Maya,Jessa Lim,True
TXN-00024,2024-10-26,14:15,BGC,Miguel Reyes,Hot Chocolate,Hot Drinks,1,130.0,130.0,GCash,Mira Flores,True
TXN-00025,2024-10-18,10:00,Alabang,Clara Villanueva,Chocolate Croissant,Pastry,1,95.0,95.0,Maya,Paolo Cruz,False
TXN-00026,2024-05-02,11:45,Ortigas,Ana Santos,Cappuccino,Hot Drinks,2,145.0,290.0,Debit Card,Mark Tan,True
TXN-00027,2024-10-02,10:30,Pasig,Luis Flores,Cappuccino,Hot Drinks,3,145.0,435.0,GCash,Ryan Go,False
TXN-00028,2024-11-09,19:00,Quezon City,Juan Gonzales,Banana Bread,Pastry,1,80.0,80.0,Maya,Mark Tan,True
TXN-00029,2024-10-10,09:30,Pasig,Andrea Garcia,Cold Brew,Cold Drinks,1,150.0,150.0,Debit Card,Ryan Go,False
TXN-00030,2024-01-27,08:45,Pasig,Carla Bautista,Iced Americano,Cold Drinks,1,130.0,130.0,GCash,Ryan Go,False
TXN-00031,2024-10-14,07:00,Quezon City,Marco Villanueva,Caramel Latte,Hot Drinks,2,155.0,310.0,Credit Card,Rina Ocampo,True
TXN-00032,2024-06-06,12:00,Cubao,Juan Flores,Iced Caramel Latte,Cold Drinks,2,165.0,330.0,Debit Card,Rina Ocampo,True
TXN-00033,2024-03-24,19:15,Cubao,Andrea Castillo,Iced Americano,Cold Drinks,1,130.0,130.0,GCash,Diana Reyes,True
TXN-00034,2024-12-25,08:45,Pasig,Patricia Flores,Americano,Hot Drinks,1,120.0,120.0,GCash,Paolo Cruz,True
TXN-00035,2024-12-03,10:45,Cubao,Isabella Flores,Matcha Latte,Cold Drinks,3,160.0,480.0,Debit Card,Alvin Santos,True
TXN-00036,2024-02-29,11:15,Alabang,Renz Ramos,Cheese Danish,Pastry,1,90.0,90.0,Maya,Mira Flores,True
TXN-00037,2024-07-16,16:15,Mandaluyong,Maria Lopez,Iced Americano,Cold Drinks,2,130.0,260.0,Maya,Mira Flores,True
TXN-00038,2024-12-06,12:30,Pasig,Carlos Lopez,Chocolate Croissant,Pastry,2,95.0,190.0,Credit Card,Alvin Santos,False
TXN-00039,2024-12-22,11:15,Quezon City,Lea Bautista,Americano,Hot Drinks,2,120.0,240.0,Debit Card,Diana Reyes,False
TXN-00040,2024-10-07,20:00,Alabang,Clara Villanueva,Matcha Latte,Cold Drinks,1,160.0,160.0,Credit Card,Ryan Go,False
TXN-00041,2024-12-11,10:45,Alabang,Carlos Lopez,Blueberry Muffin,Pastry,2,85.0,170.0,Cash,Paolo Cruz,False
TXN-00042,2024-04-25,19:15,BGC,Ramon Villanueva,Brewed Coffee,Hot Drinks,1,95.0,95.0,Credit Card,Mira Flores,True
TXN-00043,2024-12-22,13:45,BGC,Maria Gonzales,Iced Caramel Latte,Cold Drinks,1,165.0,165.0,Credit Card,Paolo Cruz,True
TXN-00044,2024-12-22,15:45,Quezon City,Juan Mendoza,Hot Chocolate,Hot Drinks,1,130.0,130.0,Credit Card,Alvin Santos,False
TXN-00045,2024-11-09,20:45,Pasig,Ramon Mendoza,Cinnamon Roll,Pastry,3,100.0,300.0,GCash,Diana Reyes,False
TXN-00046,2024-11-16,10:30,Alabang,Luis Torres,Iced Americano,Cold Drinks,2,130.0,260.0,Maya,Mark Tan,True
TXN-00047,2024-03-18,10:45,Cubao,Ana Ramos,Blueberry Muffin,Pastry,2,85.0,170.0,Maya,Ryan Go,False
TXN-00048,2024-02-01,10:45,Cubao,Maria De Leon,Cold Brew,Cold Drinks,4,150.0,600.0,Credit Card,Jessa Lim,False
TXN-00049,2024-06-01,19:45,Mandaluyong,Felix Castillo,Cold Brew,Cold Drinks,2,150.0,300.0,Credit Card,Paolo Cruz,False
TXN-00050,2024-08-11,14:00,Quezon City,Lea Aquino,Matcha Latte,Cold Drinks,2,160.0,320.0,Credit Card,Rina Ocampo,True
TXN-00051,2024-07-20,16:00,Makati,Patricia Cruz,Americano,Hot Drinks,1,120.0,120.0,Maya,Mira Flores,False
TXN-00052,2024-04-18,14:30,BGC,Nico Torres,Strawberry Frappe,Cold Drinks,1,175.0,175.0,Credit Card,Jessa Lim,True
TXN-00053,2024-06-28,10:00,Makati,Luis Garcia,Chocolate Croissant,Pastry,3,95.0,285.0,Debit Card,Rina Ocampo,True
TXN-00054,2024-03-05,14:00,Alabang,Isabella Castillo,Blueberry Muffin,Pastry,2,85.0,170.0,GCash,Mark Tan,True
TXN-00055,2024-06-08,08:00,Mandaluyong,Lea Ramos,Cold Brew,Cold Drinks,2,150.0,300.0,Cash,Paolo Cruz,True
TXN-00056,2024-12-22,19:30,Makati,Clara Castillo,Banana Bread,Pastry,3,80.0,240.0,Maya,Mira Flores,False
TXN-00057,2024-02-05,15:30,Alabang,Juan Ramos,Americano,Hot Drinks,3,120.0,360.0,Credit Card,Rina Ocampo,False
TXN-00058,2024-03-31,18:30,Pasig,Patricia Ramos,Banana Bread,Pastry,3,80.0,240.0,Maya,Paolo Cruz,True
TXN-00059,2024-05-22,14:15,Makati,Lea Flores,Cold Brew,Cold Drinks,2,150.0,300.0,Credit Card,Alvin Santos,True
TXN-00060,2024-09-06,10:30,Pasig,Renz Aquino,Matcha Latte,Cold Drinks,1,160.0,160.0,Debit Card,Jessa Lim,True
TXN-00061,2024-02-13,10:45,Ortigas,Ramon Bautista,Cold Brew,Cold Drinks,3,150.0,450.0,Credit Card,Jessa Lim,True
TXN-00062,2024-05-30,10:45,Ortigas,Clara Flores,Blueberry Muffin,Pastry,1,85.0,85.0,Debit Card,Alvin Santos,False
TXN-00063,2024-10-08,12:30,BGC,Isabella Garcia,Cinnamon Roll,Pastry,1,100.0,100.0,GCash,Alvin Santos,True
TXN-00064,2024-10-01,19:15,Pasig,Isabella Aquino,Caramel Latte,Hot Drinks,2,155.0,310.0,Cash,Paolo Cruz,False
TXN-00065,2024-04-26,12:15,Makati,Carla Torres,Iced Americano,Cold Drinks,2,130.0,260.0,Cash,Diana Reyes,True
TXN-00066,2024-11-22,20:45,Ortigas,Ramon Mendoza,Brewed Coffee,Hot Drinks,2,95.0,190.0,Maya,Rina Ocampo,True
TXN-00067,2024-05-09,20:45,Makati,Ana Villanueva,Brewed Coffee,Hot Drinks,1,95.0,95.0,GCash,Rina Ocampo,False
TXN-00068,2024-02-13,10:00,Cubao,Renz Garcia,Cinnamon Roll,Pastry,2,100.0,200.0,Credit Card,Ryan Go,False
TXN-00069,2024-10-28,13:30,Mandaluyong,Juan Castillo,Banana Bread,Pastry,1,80.0,80.0,GCash,Diana Reyes,True
TXN-00070,2024-03-21,10:15,Ortigas,Nico Mendoza,Chocolate Croissant,Pastry,1,95.0,95.0,Maya,Jessa Lim,True
TXN-00071,2024-05-27,18:30,Pasig,Luis Gonzales,Cinnamon Roll,Pastry,1,100.0,100.0,Debit Card,Paolo Cruz,False
TXN-00072,2024-02-28,15:15,Makati,Carla Reyes,Blueberry Muffin,Pastry,4,85.0,340.0,GCash,Diana Reyes,False
TXN-00073,2024-08-12,08:45,Ortigas,Isabella Lopez,Cheese Danish,Pastry,2,90.0,180.0,Credit Card,Mark Tan,True
TXN-00074,2024-08-09,18:30,Makati,Luis Bautista,Cheese Danish,Pastry,1,90.0,90.0,Maya,Jessa Lim,True
TXN-00075,2024-08-28,15:45,Ortigas,Nico Bautista,Iced Caramel Latte,Cold Drinks,5,165.0,825.0,Cash,Ryan Go,False
TXN-00076,2024-07-28,12:30,Ortigas,Andrea Ramos,Chocolate Croissant,Pastry,3,95.0,285.0,Maya,Mira Flores,True
TXN-00077,2024-08-20,08:30,Makati,Lea De Leon,Matcha Latte,Cold Drinks,1,160.0,160.0,Debit Card,Ryan Go,False
TXN-00078,2024-01-28,10:30,Pasig,Jose Garcia,Cinnamon Roll,Pastry,2,100.0,200.0,Debit Card,Rina Ocampo,False
TXN-00079,2024-08-12,18:45,Mandaluyong,Renz Castillo,Brewed Coffee,Hot Drinks,5,95.0,475.0,GCash,Diana Reyes,True
TXN-00080,2024-10-09,13:00,Quezon City,Juan Bautista,Brewed Coffee,Hot Drinks,2,95.0,190.0,Credit Card,Diana Reyes,False
TXN-00081,2024-07-31,20:45,Mandaluyong,Carla Ramos,Iced Caramel Latte,Cold Drinks,2,165.0,330.0,Debit Card,Rina Ocampo,True
TXN-00082,2024-05-21,19:45,Pasig,Maria Torres,Cold Brew,Cold Drinks,1,150.0,150.0,Debit Card,Ryan Go,True
TXN-00083,2024-08-16,15:45,Ortigas,Felix Ramos,Matcha Latte,Cold Drinks,2,160.0,320.0,Maya,Paolo Cruz,True
TXN-00084,2024-10-19,13:15,Cubao,Ramon Aquino,Iced Americano,Cold Drinks,1,130.0,130.0,Credit Card,Rina Ocampo,False
TXN-00085,2024-01-19,09:30,Quezon City,Patricia Santos,Americano,Hot Drinks,1,120.0,120.0,Credit Card,Rina Ocampo,True
TXN-00086,2024-08-28,19:30,Alabang,Ana De Leon,Cold Brew,Cold Drinks,2,150.0,300.0,Debit Card,Mira Flores,False
TXN-00087,2024-11-16,18:45,Pasig,Luis Bautista,Chocolate Croissant,Pastry,2,95.0,190.0,GCash,Mark Tan,False
TXN-00088,2024-02-20,19:00,Alabang,Maria Santos,Iced Caramel Latte,Cold Drinks,2,165.0,330.0,Cash,Diana Reyes,False
TXN-00089,2024-07-10,13:15,Quezon City,Miguel Cruz,Hot Chocolate,Hot Drinks,1,130.0,130.0,Cash,Mira Flores,True
TXN-00090,2024-09-11,16:15,Makati,Patricia Torres,Americano,Hot Drinks,2,120.0,240.0,Credit Card,Diana Reyes,True
TXN-00091,2024-02-07,14:30,Pasig,Nico Aquino,Cheese Danish,Pastry,2,90.0,180.0,Credit Card,Diana Reyes,True
TXN-00092,2024-07-15,20:45,Pasig,Marco Villanueva,Caramel Latte,Hot Drinks,1,155.0,155.0,Maya,Jessa Lim,False
TXN-00093,2024-05-20,07:00,Mandaluyong,Carlos Castillo,Cinnamon Roll,Pastry,3,100.0,300.0,Debit Card,Alvin Santos,True
TXN-00094,2024-11-21,10:30,Ortigas,Jose Torres,Blueberry Muffin,Pastry,2,85.0,170.0,Cash,Alvin Santos,True
TXN-00095,2024-02-16,11:30,Alabang,Carla Castillo,Cinnamon Roll,Pastry,1,100.0,100.0,Debit Card,Diana Reyes,True
TXN-00096,2024-05-11,20:45,Quezon City,Patricia Reyes,Matcha Latte,Cold Drinks,3,160.0,480.0,GCash,Mira Flores,False
TXN-00097,2024-02-16,19:45,Pasig,Patricia Flores,Cappuccino,Hot Drinks,2,145.0,290.0,Debit Card,Mira Flores,False
TXN-00098,2024-02-25,17:15,Mandaluyong,Felix Flores,Iced Americano,Cold Drinks,2,130.0,260.0,Cash,Ryan Go,False
TXN-00099,2024-11-28,13:00,BGC,Carlos Mendoza,Brewed Coffee,Hot Drinks,4,95.0,380.0,Cash,Paolo Cruz,True
TXN-00100,2024-07-17,14:30,Cubao,Carla Gonzales,Banana Bread,Pastry,1,80.0,80.0,Cash,Ryan Go,False
TXN-00101,2024-05-23,07:30,Alabang,Luis De Leon,Americano,Hot Drinks,1,120.0,120.0,Cash,Alvin Santos,False
TXN-00102,2024-02-01,13:30,Mandaluyong,Patricia Reyes,Brewed Coffee,Hot Drinks,4,95.0,380.0,Debit Card,Jessa Lim,True
TXN-00103,2024-06-19,10:15,Mandaluyong,Felix Garcia,Blueberry Muffin,Pastry,1,85.0,85.0,GCash,Alvin Santos,True
TXN-00104,2024-11-01,07:30,Makati,Miguel Reyes,Caramel Latte,Hot Drinks,2,155.0,310.0,GCash,Jessa Lim,False
TXN-00105,2024-05-01,16:30,Cubao,Carla Aquino,Caramel Latte,Hot Drinks,1,155.0,155.0,Debit Card,Mark Tan,True
TXN-00106,2024-08-31,14:30,Makati,Tanya Garcia,Banana Bread,Pastry,1,80.0,80.0,Debit Card,Diana Reyes,False
TXN-00107,2024-11-25,07:00,Ortigas,Juan Mendoza,Strawberry Frappe,Cold Drinks,1,175.0,175.0,Cash,Mark Tan,False
TXN-00108,2024-11-07,09:00,Alabang,Clara Lopez,Cappuccino,Hot Drinks,2,145.0,290.0,Credit Card,Diana Reyes,False
TXN-00109,2024-09-15,16:45,Mandaluyong,Felix Aquino,Brewed Coffee,Hot Drinks,3,95.0,285.0,Credit Card,Ryan Go,True
TXN-00110,2024-07-30,12:45,Alabang,Andrea Ramos,Strawberry Frappe,Cold Drinks,2,175.0,350.0,Maya,Alvin Santos,True
TXN-00111,2024-12-17,14:00,Alabang,Juan Aquino,Brewed Coffee,Hot Drinks,1,95.0,95.0,GCash,Jessa Lim,False
TXN-00112,2024-12-09,08:45,Pasig,Jose Torres,Strawberry Frappe,Cold Drinks,3,175.0,525.0,Maya,Mark Tan,True
TXN-00113,2024-03-20,17:45,BGC,Felix Flores,Brewed Coffee,Hot Drinks,1,95.0,95.0,Maya,Paolo Cruz,False
TXN-00114,2024-10-14,19:00,Pasig,Isabella Aquino,Cheese Danish,Pastry,1,90.0,90.0,Maya,Alvin Santos,True
TXN-00115,2024-04-02,20:15,Mandaluyong,Maria Reyes,Cinnamon Roll,Pastry,1,100.0,100.0,Credit Card,Mira Flores,False
TXN-00116,2024-06-23,09:30,BGC,Clara Villanueva,Matcha Latte,Cold Drinks,3,160.0,480.0,Cash,Rina Ocampo,True
TXN-00117,2024-11-12,07:00,Ortigas,Ramon Villanueva,Strawberry Frappe,Cold Drinks,2,175.0,350.0,Credit Card,Diana Reyes,True
TXN-00118,2024-09-19,08:30,Pasig,Clara Mendoza,Iced Americano,Cold Drinks,1,130.0,130.0,Cash,Paolo Cruz,False
TXN-00119,2024-11-02,07:00,Pasig,Carla Castillo,Cappuccino,Hot Drinks,4,145.0,580.0,Maya,Alvin Santos,True
TXN-00120,2024-01-04,14:45,Alabang,Luis Lopez,Caramel Latte,Hot Drinks,1,155.0,155.0,Cash,Mira Flores,True
TXN-00121,2024-08-11,07:45,Cubao,Clara Ramos,Cappuccino,Hot Drinks,2,145.0,290.0,Maya,Mark Tan,False
TXN-00122,2024-01-11,12:15,Cubao,Marco Reyes,Cinnamon Roll,Pastry,3,100.0,300.0,Cash,Paolo Cruz,False
TXN-00123,2024-10-28,13:00,Quezon City,Luis Flores,Matcha Latte,Cold Drinks,2,160.0,320.0,Cash,Mark Tan,True
TXN-00124,2024-06-27,12:15,Quezon City,Sofia Cruz,Brewed Coffee,Hot Drinks,1,95.0,95.0,Cash,Rina Ocampo,False
TXN-00125,2024-08-25,19:45,Alabang,Renz Flores,Banana Bread,Pastry,2,80.0,160.0,GCash,Ryan Go,True
TXN-00126,2024-08-28,14:30,Pasig,Tanya Reyes,Cold Brew,Cold Drinks,1,150.0,150.0,Credit Card,Ryan Go,True
TXN-00127,2024-01-30,12:30,Ortigas,Tanya Ramos,Brewed Coffee,Hot Drinks,2,95.0,190.0,Debit Card,Jessa Lim,False
TXN-00128,2024-10-19,17:15,Ortigas,Carla Santos,Cold Brew,Cold Drinks,2,150.0,300.0,Cash,Alvin Santos,True
TXN-00129,2024-09-15,17:15,Quezon City,Patricia Lopez,Caramel Latte,Hot Drinks,2,155.0,310.0,Maya,Alvin Santos,False
TXN-00130,2024-07-17,13:30,Alabang,Andrea Reyes,Banana Bread,Pastry,1,80.0,80.0,Cash,Mira Flores,False
TXN-00131,2024-05-09,18:15,Alabang,Carla Gonzales,Iced Americano,Cold Drinks,2,130.0,260.0,Maya,Mira Flores,True
TXN-00132,2024-10-31,18:00,Quezon City,Andrea De Leon,Cold Brew,Cold Drinks,1,150.0,150.0,Debit Card,Mark Tan,False
TXN-00133,2024-09-17,12:00,Ortigas,Sofia Flores,Matcha Latte,Cold Drinks,1,160.0,160.0,GCash,Paolo Cruz,True
TXN-00134,2024-03-20,08:30,Alabang,Tanya Santos,Hot Chocolate,Hot Drinks,3,130.0,390.0,Debit Card,Rina Ocampo,False
TXN-00135,2024-03-19,09:15,Ortigas,Miguel Aquino,Banana Bread,Pastry,3,80.0,240.0,Cash,Mira Flores,False
TXN-00136,2024-12-12,18:15,Mandaluyong,Patricia Garcia,Cold Brew,Cold Drinks,1,150.0,150.0,Maya,Ryan Go,True
TXN-00137,2024-07-07,17:45,Cubao,Tanya Lopez,Matcha Latte,Cold Drinks,3,160.0,480.0,GCash,Paolo Cruz,True
TXN-00138,2024-05-08,07:45,BGC,Tanya De Leon,Cold Brew,Cold Drinks,4,150.0,600.0,Maya,Mark Tan,True
TXN-00139,2024-05-19,14:15,Ortigas,Luis De Leon,Iced Americano,Cold Drinks,4,130.0,520.0,Maya,Jessa Lim,False
TXN-00140,2024-01-28,13:30,Makati,Marco Garcia,Americano,Hot Drinks,5,120.0,600.0,Maya,Mark Tan,False
TXN-00141,2024-03-15,09:00,Ortigas,Carla Castillo,Strawberry Frappe,Cold Drinks,2,175.0,350.0,Credit Card,Jessa Lim,True
TXN-00142,2024-01-10,11:15,Cubao,Renz Lopez,Hot Chocolate,Hot Drinks,4,130.0,520.0,Cash,Diana Reyes,True
TXN-00143,2024-06-03,08:00,BGC,Renz Mendoza,Americano,Hot Drinks,2,120.0,240.0,Cash,Ryan Go,True
TXN-00144,2024-11-19,15:15,Alabang,Maria Villanueva,Blueberry Muffin,Pastry,1,85.0,85.0,GCash,Mira Flores,True
